neighbourhood,neighbourhood_id,total_population,walk_score,social_assistance,,private_dwellings,rent_bank_app,soc_house_units,home_price,soc_house_waitlist,visible_minority,unemployed,avg_fam_income,bachelor_degree,recent_immigrant,pollutants_release,road_kms,traffic_collisions,pedes_colissions
Yonge-Eglinton,100,10580,89,189,,5200,4,149,975449,76,1940,370,140907,350,435,0,22.07398574,143,134
Forest Hill South,101,10925,76,134,,4800,3,233,1585984,55,1320,420,251035,415,320,691,30.25289175,164,42
Forest Hill North,102,12475,77,633,,5345,10,325,957688,185,3080,630,137887,680,1365,73,20.41502948,153,61
Lawrence Park South,103,15075,72,240,,5675,1,113,1215390,80,1900,700,216754,520,485,1,39.90787305,183,69
Mount Pleasant West,104,28590,95,1343,,17575,11,1443,520032,449,8890,1445,89797,1515,2760,248,16.12560861,228,111
Lawrence Park North,105,14540,78,166,,5500,0,110,980831,54,2270,455,165131,390,400,202,29.60219911,218,46
Humewood-Cedarvale,106,14110,80,698,,6570,8,445,800442,247,4050,590,105770,620,830,0,23.21263491,88,51
Oakwood Village,107,21075,82,2412,,8555,9,966,482040,578,9105,950,67809,815,1650,0,32.5587855,178,84
Briar Hill-Belgravia,108,14295,81,1432,,5805,9,328,373937,309,6490,645,67358,805,1575,2611,22.4839455,137,93
Caledonia-Fairbank,109,9855,69,1153,,3505,4,16,400532,164,3685,515,66257,250,855,0,18.70522556,82,52
Keelesdale-Eglinton West,110,10640,69,1653,,3985,4,349,373029,251,4850,605,64857,270,960,2750,22.30262457,141,119
Rockcliffe-Smythe,111,22270,61,3422,,8900,17,1252,353967,564,10275,1295,64271,805,1080,653,43.05565102,193,115
Beechborough-Greenbrook,112,6490,62,1478,,2665,10,537,440179,293,3475,360,58706,150,520,3911,16.39852965,103,63
Weston,113,18170,73,4149,,7905,32,1048,280187,814,4965,955,61470,545,1070,96336,29.13558051,196,178
Lambton Baby Point,114,7920,70,1049,,3155,0,644,806452,94,1720,215,122277,230,240,0,19.21811928,52,20
Mount Dennis,115,13150,59,2937,,4880,21,864,273418,545,8270,920,57386,305,1175,156,17.69051031,64,59
Steeles,116,25010,61,1549,,7680,0,0,440688,428,22050,1355,67732,1495,2745,2596,46.33675666,234,99
L'Amoreaux,117,44915,65,3848,,14925,12,1552,355438,867,34310,2315,64493,2550,4355,251,66.57614957,215,249
Tam O'Shanter-Sullivan,118,27390,64,1973,,9805,10,985,411143,589,19640,1240,64630,1425,3080,0,50.85001538,171,260
Wexford/Maryvale,119,27020,67,3014,,9970,37,578,422689,593,12805,1400,69418,1230,1750,50349,86.67723451,262,607
Clairlea-Birchmount,120,24775,69,2688,,8730,9,273,387912,570,13390,1255,69549,950,2110,445019,63.8376636,268,465
Oakridge,121,13505,71,2967,,5225,9,1464,347446,869,9125,1040,50793,490,2575,416,19.11891564,76,80
Birchcliffe-Cliffside,122,21860,71,1789,,9190,16,870,522905,283,4430,1295,90256,760,495,0,64.45457811,193,114
Cliffcrest,123,15700,54,1342,,5825,10,497,542218,289,5545,720,83694,910,640,131557,51.38712788,108,97
Kennedy Park,124,17050,62,2583,,6550,14,1661,293600,540,11185,935,58513,575,1355,36,30.81869749,117,155
Ionview,125,13095,70,1675,,5075,12,332,330109,393,9115,885,57069,660,1550,0,16.898618,32,111
Dorset Park,126,24360,68,2803,,8525,13,510,279189,515,17820,1375,60973,1245,2435,496649,39.00312698,251,348
Bendale,127,27870,64,2729,,10085,19,508,329355,701,18235,1430,65560,1520,2820,55313,62.86449729,258,851
Agincourt South-Malvern West,128,21990,66,1542,,6880,12,172,332710,385,17785,1175,68465,1150,2330,236731,55.9797809,160,281
Agincourt North,129,30280,66,1930,,9140,6,77,375307,531,27015,1685,67622,1805,2935,16092,57.45648472,288,129
Milliken,130,27160,65,1921,,7770,1,247,387879,404,25355,1445,66372,1550,2755,222837,67.435866,426,487
Rouge,131,45905,42,2994,,13095,23,522,426850,411,36175,2475,86997,2495,2345,56778,115.7449367,770,263
Malvern,132,45085,61,5078,,13415,32,927,256488,851,39340,2905,64497,2115,3450,66889,74.91197001,334,232
Centennial Scarborough,133,13100,54,399,,4275,1,139,491024,65,4950,585,102278,685,380,311,45.86598925,115,44
Highland Creek,134,13100,54,724,,3775,2,3,529278,96,9185,645,98857,1025,395,10030,37.845626,100,50
Morningside,135,17585,53,2534,,5860,13,460,289646,419,12535,1110,66024,680,1240,0,32.28313942,88,118
West Hill,136,26550,66,4974,,9695,22,2089,308229,725,15835,1675,65871,1100,2080,371626,61.14700126,166,209
Woburn,137,53350,66,6747,,18290,26,2660,316584,1306,38715,3310,63186,2555,6030,2357,102.835355,438,507
Eglinton East,138,22830,62,4171,,8060,33,865,274020,688,16160,1490,57357,930,2700,4410,29.46464034,122,180
Scarborough Village,139,16615,70,4133,,5910,22,922,356096,683,11455,1035,61631,735,1870,0,23.14334537,65,110
Guildwood,140,9815,59,309,,3960,3,0,444309,62,2370,325,92858,390,235,0,31.41879421,56,23
